# TESS Instrument Response Function,,
# Source: Roland Vanderspek, POC, Kavli/MIT
# Version: 2.0,,
# Date: 2020/07/30,,
# Feedback: tesshelp@bigbang.gsfc.nasa.gov,,
 ,,
# Wavelength (nm), lambda Transmission,
300,0,0
302,0,0
304,0,0
306,0,0
308,0,0
310,0,0
312,0,0
314,0,0
316,0,0
318,0,0
320,0,0
322,0,0
324,0,0
326,0,0
328,0,0
330,0,0
332,0,0
334,0,0
336,0,0
338,0,0
340,0,0
342,0,0
344,0,0
346,0,0
348,0,0
350,0,0
352,0,0
354,0,0
356,0,0
358,0,0
360,0,0
362,0,0
364,0,0
366,0,0
368,0,0
370,0,0
372,0,0
374,0,0
376,0,0
378,0,0
380,0,0
382,0,0
384,0,0
386,0,0
388,0,0
390,0,0
392,0,0
394,0,0
396,0,0
398,0,0
400,0,0
402,0,0
404,0,0
406,0,0
408,0,0
410,0,0
412,0,0
414,0,0
416,0,0
418,0,0
420,0,0
422,0,0
424,0,0
426,0,0
428,0,0
430,0,0
432,0,0
434,0,0
436,0,0
438,0,0
440,0,0
442,0,0
444,0,0
446,0,0
448,0,0
450,0,0
452,0,0
454,0,0
456,0,0
458,0,0
460,0,0
462,0,0
464,0,0
466,0,0
468,0,0
470,0,0
472,0,0
474,0,0
476,0,0
478,0,0
480,0,0
482,0,0
484,0,0
486,0,0
488,0,0
490,0,0
492,0,0
494,0,0
496,0,0
498,0,0
500,0,0
502,0,0
504,0,0
506,0,0
508,0,0
510,0,0
512,0,0
514,0,0
516,0,0
518,0,0
520,0,0
522,0,0
524,0,0
526,0,0
528,0,0
530,0,0
532,0,0
534,0.001,0.0013
536,0.001,0.0013
538,0.001,0.0013
540,0.001,0.0013
542,0.001,0.0013
544,0.001,0.0013
546,0.001,0.0013
548,0.001,0.0013
550,0.001,0.0013
552,0.001,0.0013
554,0.002,0.0025
556,0.002,0.0025
558,0.002,0.0025
560,0.002,0.0025
562,0.002,0.0025
564,0.002,0.0025
566,0.003,0.0038
568,0.003,0.0038
570,0.005,0.0064
572,0.01,0.0127
574,0.03,0.0382
576,0.074,0.0943
578,0.191,0.2433
580,0.491,0.6255
582,0.575,0.7325
584,0.495,0.6306
586,0.535,0.6815
588,0.61,0.7771
590,0.631,0.8038
592,0.633,0.8064
594,0.655,0.8344
596,0.681,0.8675
598,0.685,0.8726
600,0.678,0.8637
602,0.681,0.8675
604,0.691,0.8803
606,0.697,0.8879
608,0.693,0.8828
610,0.689,0.8777
612,0.688,0.8764
614,0.691,0.8803
616,0.695,0.8854
618,0.694,0.8841
620,0.693,0.8828
622,0.692,0.8815
624,0.692,0.8815
626,0.693,0.8828
628,0.695,0.8854
630,0.697,0.8879
632,0.699,0.8904
634,0.702,0.8943
636,0.706,0.8994
638,0.709,0.9032
640,0.71,0.9045
642,0.712,0.907
644,0.713,0.9083
646,0.716,0.9121
648,0.717,0.9134
650,0.719,0.9159
652,0.722,0.9197
654,0.723,0.921
656,0.724,0.9223
658,0.726,0.9248
660,0.728,0.9274
662,0.727,0.9261
664,0.728,0.9274
666,0.727,0.9261
668,0.728,0.9274
670,0.729,0.9287
672,0.73,0.9299
674,0.734,0.935
676,0.739,0.9414
678,0.743,0.9465
680,0.744,0.9478
682,0.745,0.949
684,0.744,0.9478
686,0.745,0.949
688,0.745,0.949
690,0.75,0.9554
692,0.755,0.9618
694,0.758,0.9656
696,0.762,0.9707
698,0.767,0.9771
700,0.768,0.9783
702,0.769,0.9796
704,0.77,0.9809
706,0.771,0.9822
708,0.775,0.9873
710,0.779,0.9924
712,0.784,0.9987
714,0.783,0.9975
716,0.784,0.9987
718,0.784,0.9987
720,0.783,0.9975
722,0.785,1
724,0.784,0.9987
726,0.782,0.9962
728,0.78,0.9936
730,0.776,0.9885
732,0.773,0.9847
734,0.771,0.9822
736,0.768,0.9783
738,0.771,0.9822
740,0.77,0.9809
742,0.773,0.9847
744,0.771,0.9822
746,0.771,0.9822
748,0.774,0.986
750,0.771,0.9822
752,0.772,0.9834
754,0.772,0.9834
756,0.774,0.986
758,0.773,0.9847
760,0.774,0.986
762,0.774,0.986
764,0.772,0.9834
766,0.767,0.9771
768,0.765,0.9745
770,0.757,0.9643
772,0.754,0.9605
774,0.754,0.9605
776,0.753,0.9592
778,0.754,0.9605
780,0.755,0.9618
782,0.756,0.9631
784,0.757,0.9643
786,0.762,0.9707
788,0.763,0.972
790,0.766,0.9758
792,0.763,0.972
794,0.768,0.9783
796,0.769,0.9796
798,0.772,0.9834
800,0.777,0.9898
802,0.778,0.9911
804,0.78,0.9936
806,0.78,0.9936
808,0.779,0.9924
810,0.78,0.9936
812,0.778,0.9911
814,0.775,0.9873
816,0.771,0.9822
818,0.772,0.9834
820,0.769,0.9796
822,0.767,0.9771
824,0.764,0.9732
826,0.762,0.9707
828,0.763,0.972
830,0.761,0.9694
832,0.761,0.9694
834,0.762,0.9707
836,0.763,0.972
838,0.763,0.972
840,0.763,0.972
